update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
1,0.057836,0.245070,0.984375,0.281884,0.071515,0.252593,0.550642,1,256,18,0.097729,1,0.057836,0.057836,1,0.075738,"{2: 3, 0: 238, 5: 3, 1: 1, 3: 2, 10: 5, 9: 2, 11: 2}","{'asset_gained': 31.25, 'asset_reward': 0.03125, 'production_start_reward': 0.024328125, 'production_active_reward': 0.00677734375, 'production_cancel_penalty': 0.00451953125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05783593749999999, 'seeded_bootstrap': 1.0}"
2,0.057297,0.246160,0.992188,0.224523,0.107745,-0.186139,0.549848,1,256,23,0.903270,1,0.057566,0.057836,1,0.078776,"{0: 238, 11: 4, 9: 4, 2: 3, 1: 2, 3: 3, 10: 2}","{'asset_gained': 31.640625, 'asset_reward': 0.03164062499999999, 'production_start_reward': 0.024535156250000002, 'production_active_reward': 0.00666015625, 'production_cancel_penalty': 0.0055390625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05729687499999999, 'seeded_bootstrap': 1.0}"
3,0.044177,0.234912,0.996094,0.226666,0.036901,-0.477364,0.294474,1,256,15,0.138982,1,0.053103,0.057836,1,0.069661,"{10: 2, 0: 241, 5: 2, 9: 7, 11: 1, 1: 1, 2: 2}","{'asset_gained': 27.1484375, 'asset_reward': 0.0271484375, 'production_start_reward': 0.014825520833333335, 'production_active_reward': 0.00626953125, 'production_cancel_penalty': 0.004066406250000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04417708333333333, 'seeded_bootstrap': 1.0}"
4,0.066754,0.291503,0.996094,0.705798,0.058143,-0.119334,0.697311,1,256,15,1.741966,1,0.056516,0.066754,4,0.072049,"{0: 241, 3: 3, 10: 2, 9: 2, 11: 4, 2: 2, 5: 1, 1: 1}","{'asset_gained': 37.890625, 'asset_reward': 0.037890625, 'production_start_reward': 0.02734375, 'production_active_reward': 0.006054687499999999, 'production_cancel_penalty': 0.00453515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06675390625, 'seeded_bootstrap': 1.0}"
5,0.065082,0.248294,0.992188,0.233150,0.078423,-0.407251,0.762536,1,256,25,0.798346,1,0.058229,0.066754,4,0.078559,"{0: 231, 2: 4, 10: 1, 9: 10, 11: 7, 1: 2, 5: 1}","{'asset_gained': 32.6171875, 'asset_reward': 0.0326171875, 'production_start_reward': 0.033074218749999995, 'production_active_reward': 0.007539062500000001, 'production_cancel_penalty': 0.0081484375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06508203125, 'seeded_bootstrap': 1.0}"
6,0.039996,0.259476,0.992188,0.693194,0.252649,0.575655,0.329720,1,256,74,0.049368,1,0.055190,0.066754,4,0.094618,"{0: 250, 5: 4, 1: 1, 2: 1}","{'asset_gained': 28.515625, 'asset_reward': 0.028515625, 'production_start_reward': 0.0078125, 'production_active_reward': 0.0048242187499999995, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.03999609374999999, 'seeded_bootstrap': 1.0}"
7,0.025633,0.203655,1.000000,0.334096,0.243608,0.525579,0.284354,1,256,62,0.020122,1,0.050968,0.066754,4,0.085069,"{0: 254, 5: 2}","{'asset_gained': 17.578125, 'asset_reward': 0.017578125, 'production_start_reward': 0.00390625, 'production_active_reward': 0.004921875, 'production_cancel_penalty': 0.0007734375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.025632812499999998}"
8,0.069618,0.290961,0.996094,0.300968,0.098184,-0.050737,0.891372,1,256,27,0.142752,1,0.053299,0.069618,8,0.077908,"{0: 238, 5: 1, 1: 1, 2: 2, 3: 2, 11: 9, 9: 3}","{'asset_gained': 37.890625, 'asset_reward': 0.037890625, 'production_start_reward': 0.030680989583333332, 'production_active_reward': 0.006640624999999999, 'production_cancel_penalty': 0.00559375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06961848958333333, 'seeded_bootstrap': 1.0}"
9,0.037665,0.229516,0.984375,0.075216,0.082948,-0.347755,0.285536,1,256,13,0.485101,1,0.051562,0.069618,8,0.070964,"{0: 243, 11: 4, 5: 5, 10: 1, 2: 2, 1: 1}","{'asset_gained': 25.78125, 'asset_reward': 0.02578125, 'production_start_reward': 0.009161458333333334, 'production_active_reward': 0.005664062500000001, 'production_cancel_penalty': 0.00294140625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.037665364583333326, 'seeded_bootstrap': 1.0}"
10,0.055559,0.270713,0.992188,0.967920,0.270776,0.550940,0.667476,1,256,60,0.155808,1,0.051962,0.069618,8,0.109158,"{0: 244, 3: 2, 17: 1, 11: 1, 5: 4, 1: 1, 2: 1, 9: 1, 10: 1}","{'asset_gained': 32.6171875, 'asset_reward': 0.0326171875, 'production_start_reward': 0.01953125, 'production_active_reward': 0.006054687499999999, 'production_cancel_penalty': 0.00264453125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05555859374999998, 'seeded_bootstrap': 1.0}"
