update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
1,0.051730,0.282453,0.984375,0.065201,0.084482,0.188393,0.507796,1,256,14,0.076546,1,0.051730,0.051730,1,0.073134,"{2: 5, 0: 244, 5: 2, 1: 1, 3: 1, 11: 2, 9: 1}","{'asset_gained': 33.203125, 'asset_reward': 0.033203125, 'production_start_reward': 0.015625, 'production_active_reward': 0.005175781249999999, 'production_cancel_penalty': 0.0022734375000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.051730468749999994, 'seeded_bootstrap': 1.0}"
2,0.038945,0.232697,0.996094,0.072529,0.025728,-0.083364,0.256573,1,256,7,0.863059,1,0.045338,0.051730,1,0.063585,"{0: 250, 10: 3, 1: 1, 2: 1, 5: 1}","{'asset_gained': 23.4375, 'asset_reward': 0.0234375, 'production_start_reward': 0.01171875, 'production_active_reward': 0.005683593750000001, 'production_cancel_penalty': 0.00189453125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.038945312499999996, 'seeded_bootstrap': 1.0}"
3,0.063680,0.237187,0.992188,0.824988,0.267249,0.292379,0.494026,1,256,84,0.078158,1,0.051452,0.063680,3,0.125000,"{0: 237, 3: 3, 11: 5, 5: 2, 1: 4, 2: 1, 9: 2, 10: 2}","{'asset_gained': 29.6875, 'asset_reward': 0.029687500000000002, 'production_start_reward': 0.033203125, 'production_active_reward': 0.0060546875, 'production_cancel_penalty': 0.005265625000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.0636796875, 'seeded_bootstrap': 1.0}"
4,0.061829,0.247181,0.980469,0.605338,0.139652,-0.373490,0.543220,1,256,35,0.250259,1,0.054046,0.063680,3,0.100477,"{0: 232, 9: 8, 11: 3, 1: 4, 10: 2, 3: 3, 2: 2, 5: 2}","{'asset_gained': 33.3984375, 'asset_reward': 0.0333984375, 'production_start_reward': 0.027876302083333332, 'production_active_reward': 0.007617187499999999, 'production_cancel_penalty': 0.0070625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06182942708333332, 'seeded_bootstrap': 1.0}"
5,0.051547,0.192836,0.988281,0.054307,0.128982,-0.677014,0.321163,1,256,23,0.715024,1,0.053546,0.063680,3,0.081163,"{11: 6, 0: 237, 9: 3, 2: 1, 10: 3, 5: 2, 1: 2, 3: 2}","{'asset_gained': 21.2890625, 'asset_reward': 0.0212890625, 'production_start_reward': 0.0270703125, 'production_active_reward': 0.008359375, 'production_cancel_penalty': 0.005171875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05154687499999999, 'seeded_bootstrap': 1.0}"
6,0.054794,0.196827,0.996094,0.151748,0.119952,-0.812501,0.472643,1,256,25,0.941299,1,0.053754,0.063680,3,0.082248,"{0: 236, 11: 2, 10: 3, 5: 2, 1: 3, 9: 7, 3: 1, 2: 2}","{'asset_gained': 23.2421875, 'asset_reward': 0.0232421875, 'production_start_reward': 0.029059895833333335, 'production_active_reward': 0.0087109375, 'production_cancel_penalty': 0.00621875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05479427083333333, 'seeded_bootstrap': 1.0}"
7,0.028238,0.206687,0.980469,0.326866,0.136000,0.384436,0.284214,1,256,44,0.143036,1,0.050109,0.063680,3,0.085938,"{0: 253, 1: 1, 5: 1, 2: 1}","{'asset_gained': 18.75, 'asset_reward': 0.01875, 'production_start_reward': 0.005859375, 'production_active_reward': 0.00478515625, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.028238281249999993}"
8,0.044680,0.277675,0.996094,0.022124,0.072268,0.703450,0.359808,4,256,14,0.068800,0,0.049431,0.063680,3,0.068142,"{0: 250, 2: 4, 1: 2}","{'asset_gained': 31.640625, 'asset_reward': 0.031640625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.0048046875, 'production_cancel_penalty': 0.00153125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.044679687499999995, 'seeded_bootstrap': 1.0}"
9,0.039941,0.274087,0.980469,0.030856,0.052009,-0.720724,0.222231,1,256,8,0.645221,1,0.048376,0.063680,3,0.067708,"{0: 248, 5: 4, 2: 3, 1: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.03046875, 'production_start_reward': 0.005859375, 'production_active_reward': 0.004765625, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.03994140624999999, 'seeded_bootstrap': 1.0}"
10,0.039961,0.259479,0.984375,0.265207,0.238265,0.715411,0.390336,1,256,73,0.271260,1,0.047535,0.063680,3,0.096354,"{0: 248, 5: 5, 2: 2, 1: 1}","{'asset_gained': 28.515625, 'asset_reward': 0.028515625, 'production_start_reward': 0.0078125, 'production_active_reward': 0.00478515625, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.03996093749999999, 'seeded_bootstrap': 1.0}"
