update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
1,0.041250,0.441144,0.054688,1.870766,2.007397,0.168479,0.166180,1,256,254,0.093216,1,0.041250,0.041250,1,0.441406,"{5: 245, 0: 4, 2: 6, 1: 1}","{'asset_gained': 19.53125, 'asset_reward': 0.0390625, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.001953125, 'production_active_reward': 0.000234375, 'production_cancel_penalty': 0.0, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.041249999999999995, 'seeded_bootstrap': 1.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.2293307086614173, 'goal_unit_progress': 0.0, 'goal_phase2': 0.0, 'goal_phase_bonus': 0.0}"
2,0.043742,0.442540,0.167969,1.633799,1.964083,0.125986,0.190014,1,256,254,0.059855,1,0.042496,0.043742,2,0.441406,"{5: 235, 2: 5, 0: 14, 3: 1, 1: 1}","{'asset_gained': 20.703125, 'asset_reward': 0.04140625, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.001953125, 'production_active_reward': 0.00076171875, 'production_cancel_penalty': 0.00037890625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.2559055118110236, 'goal_unit_progress': 0.0, 'goal_phase2': 0.0, 'goal_phase_bonus': 0.0, 'total': 0.0437421875, 'seeded_bootstrap': 1.0}"
3,0.046863,0.445324,0.167969,1.338929,1.979543,0.167788,0.225328,1,256,254,0.068288,1,0.043952,0.046863,3,0.441406,"{5: 220, 0: 23, 2: 11, 1: 2}","{'asset_gained': 20.703125, 'asset_reward': 0.04140625, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.00390625, 'production_active_reward': 0.00076171875, 'production_cancel_penalty': 0.0003828125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.3165354330708662, 'goal_unit_progress': 0.0, 'goal_phase2': 0.12598425196850394, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.04686328125, 'seeded_bootstrap': 1.0}"
4,0.034023,0.321533,0.570312,1.476296,1.983076,0.157661,0.149096,1,256,255,0.038187,1,0.041470,0.046863,3,0.442925,"{5: 219, 2: 17, 1: 5, 0: 14, 3: 1}","{'asset_gained': 12.109375, 'asset_reward': 0.024218749999999997, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.0078125, 'production_active_reward': 0.00275390625, 'production_cancel_penalty': 0.00076171875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.29, 'goal_unit_progress': 0.0, 'goal_phase2': 0.0, 'goal_phase_bonus': 0.0, 'total': 0.03402343749999999, 'seeded_bootstrap': 1.0}"
5,0.078754,0.557752,0.382812,1.790278,1.971011,0.420944,0.661172,1,256,254,0.203348,1,0.048927,0.078754,5,0.444661,"{5: 226, 0: 10, 1: 6, 2: 6, 3: 4, 9: 2, 11: 2}","{'asset_gained': 32.03125, 'asset_reward': 0.0640625, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.01171875, 'production_active_reward': 0.00177734375, 'production_cancel_penalty': 0.0011484375000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.25669291338582684, 'goal_unit_progress': 0.0026246719160104987, 'goal_phase2': 0.03937007874015748, 'goal_phase_bonus': 0.002362204724409449, 'total': 0.07875390625, 'seeded_bootstrap': 1.0}"
6,0.061250,0.451763,0.718750,1.058768,1.967337,0.185303,0.312365,1,256,254,0.125634,1,0.050980,0.078754,5,0.441406,"{5: 205, 2: 13, 0: 22, 1: 9, 3: 7}","{'asset_gained': 24.21875, 'asset_reward': 0.048437499999999994, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.009765625, 'production_active_reward': 0.0033984374999999995, 'production_cancel_penalty': 0.0015234375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.3558070866141732, 'goal_unit_progress': 0.0, 'goal_phase2': 0.2204724409448819, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.061250000000000006, 'seeded_bootstrap': 1.0}"
7,0.078703,0.471192,0.871094,1.132681,1.999282,0.202622,0.786203,1,256,255,0.189149,1,0.054941,0.078754,5,0.467665,"{5: 153, 1: 14, 2: 20, 0: 16, 3: 23, 9: 17, 10: 5, 11: 8}","{'asset_gained': 26.5625, 'asset_reward': 0.053125, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.021484375, 'production_active_reward': 0.004765624999999999, 'production_cancel_penalty': 0.003015625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.4004901960784314, 'goal_unit_progress': 0.00457516339869281, 'goal_phase2': 0.38823529411764707, 'goal_phase_bonus': 0.002352941176470588, 'total': 0.078703125, 'seeded_bootstrap': 1.0}"
8,0.065730,0.455499,0.699219,1.025552,1.959464,0.144943,0.381642,1,256,254,0.122080,1,0.056290,0.078754,5,0.451172,"{3: 16, 5: 158, 0: 36, 2: 26, 1: 10, 9: 6, 11: 2, 10: 2}","{'asset_gained': 23.828125, 'asset_reward': 0.04765625, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.013671875, 'production_active_reward': 0.00357421875, 'production_cancel_penalty': 0.001515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.4120734908136483, 'goal_unit_progress': 0.006299212598425196, 'goal_phase2': 0.44881889763779526, 'goal_phase_bonus': 0.002362204724409449, 'total': 0.06573046874999999, 'seeded_bootstrap': 1.0}"
9,0.101859,0.562507,0.921875,0.935677,1.994759,0.276749,0.967530,1,256,254,0.087250,1,0.061353,0.101859,9,0.475260,"{11: 19, 9: 19, 10: 6, 3: 45, 0: 24, 5: 98, 1: 18, 2: 27}","{'asset_gained': 37.3046875, 'asset_reward': 0.074609375, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.025390625, 'production_active_reward': 0.005136718750000001, 'production_cancel_penalty': 0.00444921875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.40551181102362205, 'goal_unit_progress': 0.02398293963254593, 'goal_phase2': 0.27165354330708663, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.10185937499999999, 'seeded_bootstrap': 1.0}"
10,0.096527,0.559105,0.875000,0.967883,1.998634,0.148997,0.866696,1,256,254,0.124667,1,0.064870,0.101859,9,0.485677,"{5: 118, 3: 38, 0: 22, 2: 27, 1: 6, 10: 12, 11: 18, 9: 15}","{'asset_gained': 35.9375, 'asset_reward': 0.071875, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.021484375, 'production_active_reward': 0.005371093749999999, 'production_cancel_penalty': 0.0033750000000000004, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.3779527559055118, 'goal_unit_progress': 0.0, 'goal_phase2': 0.1220472440944882, 'goal_phase_bonus': 0.0011811023622047244, 'total': 0.09652734375, 'seeded_bootstrap': 1.0}"
