update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
1,0.119482,0.280671,0.992188,0.018480,0.110094,-0.474149,1.345758,4,256,14,0.199475,0,0.119482,0.119482,1,0.076823,"{5: 5, 0: 245, 1: 3, 2: 3}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.01171875, 'production_active_reward': 0.0046484375, 'production_cancel_penalty': 0.0015234375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.119482421875, 'seeded_bootstrap': 1.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07239173228346454, 'goal_building_progress': 0.48769685039370075, 'goal_unit_progress': 0.0}"
2,0.122805,0.325626,0.992188,0.057549,0.098040,-0.077681,1.518201,1,256,13,0.383530,1,0.121144,0.122805,2,0.075304,"{0: 244, 2: 4, 5: 4, 1: 4}","{'asset_gained': 43.75, 'asset_reward': 0.04375, 'production_start_reward': 0.015625, 'production_active_reward': 0.00462890625, 'production_cancel_penalty': 0.0022890625000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.061571522309711295, 'goal_building_progress': 0.4836942257217847, 'goal_unit_progress': 0.023622047244094488, 'total': 0.12280533854166667, 'seeded_bootstrap': 1.0}"
3,0.094943,0.320395,0.992188,0.014923,0.062035,-0.457020,0.727355,4,256,8,0.046586,0,0.112410,0.122805,2,0.067708,"{0: 248, 3: 1, 5: 1, 1: 3, 2: 3}","{'asset_gained': 41.40625, 'asset_reward': 0.04140625, 'production_start_reward': 0.01171875, 'production_active_reward': 0.004765625, 'production_cancel_penalty': 0.00153125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.03888779527559055, 'goal_building_progress': 0.44465223097112866, 'goal_unit_progress': 0.025918635170603672, 'total': 0.094943359375, 'seeded_bootstrap': 1.0}"
4,0.131365,0.284933,0.996094,0.011308,0.063861,0.104586,1.796983,4,256,8,0.079705,0,0.117149,0.131365,4,0.067708,"{0: 248, 1: 2, 2: 2, 5: 3, 3: 1}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.01171875, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.0019101562500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.08432679738562092, 'goal_building_progress': 0.48627450980392156, 'goal_unit_progress': 0.03790849673202614, 'total': 0.13136458333333334, 'seeded_bootstrap': 1.0}"
5,0.142375,0.246614,0.992188,0.033625,0.150971,0.263627,1.519632,1,256,19,0.927794,1,0.122194,0.142375,5,0.084852,"{0: 239, 9: 2, 3: 3, 10: 1, 5: 4, 1: 6, 2: 1}","{'asset_gained': 28.90625, 'asset_reward': 0.028906249999999998, 'production_start_reward': 0.0234375, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.00342578125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.08940944881889765, 'goal_building_progress': 0.5306102362204724, 'goal_unit_progress': 0.013090551181102363, 'total': 0.142375, 'seeded_bootstrap': 1.0}"
6,0.131118,0.299547,0.992188,0.153976,0.215265,-0.111842,1.547175,1,256,31,0.213491,1,0.123681,0.142375,5,0.096137,"{0: 228, 9: 11, 5: 10, 3: 2, 1: 4, 2: 1}","{'asset_gained': 40.234375, 'asset_reward': 0.040234375, 'production_start_reward': 0.03515625, 'production_active_reward': 0.005585937500000001, 'production_cancel_penalty': 0.00622265625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05680774278215223, 'goal_building_progress': 0.5329724409448819, 'goal_unit_progress': 0.05183727034120735, 'total': 0.13111783854166667, 'seeded_bootstrap': 1.0}"
7,0.084650,0.283484,0.996094,0.062231,0.059845,-0.070860,0.534831,1,256,9,0.103333,1,0.118106,0.142375,5,0.069227,"{0: 248, 1: 3, 2: 3, 5: 2}","{'asset_gained': 33.984375, 'asset_reward': 0.033984375, 'production_start_reward': 0.013671875, 'production_active_reward': 0.00470703125, 'production_cancel_penalty': 0.0022929687500000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.034715686274509806, 'goal_building_progress': 0.426078431372549, 'goal_unit_progress': 0.009313725490196078, 'total': 0.08465039062500002, 'seeded_bootstrap': 1.0}"
8,0.119077,0.253719,0.992188,0.155850,0.192464,-0.101255,1.258178,1,256,30,0.107848,1,0.118227,0.142375,5,0.093967,"{0: 229, 1: 4, 5: 11, 3: 1, 2: 2, 10: 1, 9: 8}","{'asset_gained': 29.6875, 'asset_reward': 0.029687500000000002, 'production_start_reward': 0.03125, 'production_active_reward': 0.00576171875, 'production_cancel_penalty': 0.0048359375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05766404199475065, 'goal_building_progress': 0.5118110236220472, 'goal_unit_progress': 0.06482939632545932, 'total': 0.11907682291666666, 'seeded_bootstrap': 1.0}"
9,0.101959,0.322466,0.992188,0.066071,0.118085,-0.142407,0.656275,1,256,15,0.060842,1,0.116419,0.142375,5,0.078342,"{0: 242, 5: 6, 1: 6, 2: 1, 3: 1}","{'asset_gained': 43.75, 'asset_reward': 0.04375, 'production_start_reward': 0.015625, 'production_active_reward': 0.004589843749999999, 'production_cancel_penalty': 0.0022890625000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04060039370078741, 'goal_building_progress': 0.39468503937007876, 'goal_unit_progress': 0.011318897637795276, 'total': 0.10195898437499999, 'seeded_bootstrap': 1.0}"
10,0.084110,0.281602,0.992188,0.024875,0.123154,-0.589870,0.453940,4,256,17,0.140358,0,0.113188,0.142375,5,0.081380,"{0: 246, 1: 4, 2: 3, 5: 2, 3: 1}","{'asset_gained': 33.984375, 'asset_reward': 0.033984375, 'production_start_reward': 0.013671875, 'production_active_reward': 0.0045703125, 'production_cancel_penalty': 0.0019023437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.034051837270341216, 'goal_building_progress': 0.4313976377952757, 'goal_unit_progress': 0.013123359580052492, 'total': 0.08411002604166667, 'seeded_bootstrap': 1.0}"
