update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
1,0.211612,0.293956,0.992188,0.003080,0.131037,0.020030,5.884885,4,256,16,0.586741,0,0.211612,0.211612,1,0.080512,"{0: 243, 1: 4, 7: 2, 2: 2, 3: 1, 11: 1, 8: 2, 5: 1}","{'asset_gained': 34.375, 'asset_reward': 0.034375, 'production_start_reward': 0.015625, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.0019101562500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.21161197916666669, 'seeded_bootstrap': 1.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.16002624671916008, 'goal_building_progress': 0.4822834645669291, 'goal_unit_progress': 0.05380577427821522}"
2,0.187602,0.341348,0.992188,0.015129,0.257872,-0.111734,4.002221,4,256,36,0.449577,0,0.199607,0.211612,1,0.100694,"{0: 230, 2: 5, 1: 4, 3: 3, 6: 3, 10: 2, 11: 2, 9: 4, 5: 2, 7: 1}","{'asset_gained': 48.828125, 'asset_reward': 0.048828125, 'production_start_reward': 0.03125, 'production_active_reward': 0.00595703125, 'production_cancel_penalty': 0.00487890625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.10728346456692914, 'goal_building_progress': 0.5, 'goal_unit_progress': 0.07047244094488188, 'total': 0.18760156250000004, 'seeded_bootstrap': 1.0}"
3,0.228939,0.311634,0.992188,0.032078,0.292391,-0.422797,7.690045,1,256,42,0.353911,1,0.209384,0.228939,3,0.104818,"{0: 227, 1: 6, 8: 3, 6: 2, 3: 4, 7: 3, 9: 3, 11: 4, 5: 2, 10: 1, 2: 1}","{'asset_gained': 39.6484375, 'asset_reward': 0.039648437499999994, 'production_start_reward': 0.03125, 'production_active_reward': 0.0058398437499999995, 'production_cancel_penalty': 0.0048632812499999995, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.15830052493438318, 'goal_building_progress': 0.521751968503937, 'goal_unit_progress': 0.011154855643044618, 'total': 0.22893880208333336, 'seeded_bootstrap': 1.0}"
4,0.230435,0.223899,0.996094,0.032836,0.343526,0.095115,7.136320,1,256,45,0.152506,1,0.214647,0.230435,4,0.118490,"{0: 217, 6: 4, 3: 3, 9: 6, 8: 4, 7: 6, 5: 3, 11: 3, 10: 1, 1: 8, 17: 1}","{'asset_gained': 27.1484375, 'asset_reward': 0.027148437499999997, 'production_start_reward': 0.041015625, 'production_active_reward': 0.00560546875, 'production_cancel_penalty': 0.0071171875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.16442483660130716, 'goal_building_progress': 0.5166013071895423, 'goal_unit_progress': 0.023823529411764702, 'total': 0.2304348958333333, 'seeded_bootstrap': 1.0}"
5,0.200323,0.269957,0.992188,0.013710,0.219201,-0.076532,3.867389,4,256,30,0.302426,0,0.211782,0.230435,4,0.095920,"{0: 231, 2: 4, 9: 3, 1: 5, 5: 1, 8: 2, 3: 2, 10: 3, 7: 1, 11: 3, 6: 1}","{'asset_gained': 35.3515625, 'asset_reward': 0.0353515625, 'production_start_reward': 0.037109375, 'production_active_reward': 0.0062890624999999995, 'production_cancel_penalty': 0.005640625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.12821522309711286, 'goal_building_progress': 0.512729658792651, 'goal_unit_progress': 0.06010498687664042, 'total': 0.20032291666666668, 'seeded_bootstrap': 1.0}"
6,0.178465,0.264782,0.992188,0.047242,0.380202,0.441531,3.310984,1,256,57,2.862990,1,0.206229,0.230435,4,0.117188,"{0: 216, 9: 13, 1: 6, 6: 2, 8: 5, 5: 3, 3: 6, 11: 1, 10: 2, 2: 1, 7: 1}","{'asset_gained': 33.984375, 'asset_reward': 0.033984375, 'production_start_reward': 0.046875, 'production_active_reward': 0.006503906250000002, 'production_cancel_penalty': 0.007746093750000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.09962598425196853, 'goal_building_progress': 0.46338582677165363, 'goal_unit_progress': 0.03474409448818898, 'total': 0.17846484375000002, 'seeded_bootstrap': 1.0}"
7,0.196982,0.232191,0.996094,0.071633,0.337082,0.024708,5.440245,1,256,53,0.401173,1,0.204908,0.230435,4,0.107639,"{0: 225, 11: 8, 3: 3, 9: 8, 8: 2, 1: 7, 10: 2, 7: 1}","{'asset_gained': 31.0546875, 'asset_reward': 0.0310546875, 'production_start_reward': 0.0546875, 'production_active_reward': 0.0071874999999999994, 'production_cancel_penalty': 0.00973046875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.11422875816993468, 'goal_building_progress': 0.5220588235294118, 'goal_unit_progress': 0.04908496732026145, 'total': 0.19698177083333335, 'seeded_bootstrap': 1.0}"
8,0.223543,0.293368,0.992188,0.026761,0.170739,0.180844,5.464712,4,256,24,0.479814,0,0.207237,0.230435,4,0.085720,"{0: 236, 17: 1, 3: 7, 5: 2, 1: 3, 2: 2, 8: 1, 11: 3, 10: 1}","{'asset_gained': 37.109375, 'asset_reward': 0.037109375, 'production_start_reward': 0.021484375, 'production_active_reward': 0.005410156249999999, 'production_cancel_penalty': 0.003390625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.1642125984251969, 'goal_building_progress': 0.5003280839895012, 'goal_unit_progress': 0.05905511811023621, 'total': 0.22354296875000002, 'seeded_bootstrap': 1.0}"
9,0.173393,0.304882,0.992188,0.042381,0.221455,-0.208626,2.276527,1,256,32,0.576596,1,0.203477,0.230435,4,0.092882,"{0: 232, 11: 3, 8: 1, 1: 8, 9: 2, 2: 3, 6: 1, 5: 2, 3: 4}","{'asset_gained': 40.625, 'asset_reward': 0.040624999999999994, 'production_start_reward': 0.029247395833333335, 'production_active_reward': 0.0051953125, 'production_cancel_penalty': 0.0048125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.10395013123359578, 'goal_building_progress': 0.5022965879265092, 'goal_unit_progress': 0.03490813648293963, 'total': 0.17339322916666666, 'seeded_bootstrap': 1.0}"
10,0.265266,0.284975,0.992188,0.157791,0.407869,0.851011,8.435049,1,256,64,0.584523,1,0.209656,0.265266,10,0.119792,"{0: 216, 9: 12, 8: 4, 1: 7, 11: 8, 6: 4, 3: 3, 10: 1, 2: 1}","{'asset_gained': 39.453125, 'asset_reward': 0.039453125, 'production_start_reward': 0.0604921875, 'production_active_reward': 0.0071484375, 'production_cancel_penalty': 0.009894531250000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.16938976377952758, 'goal_building_progress': 0.5483923884514437, 'goal_unit_progress': 0.0636482939632546, 'total': 0.265265625, 'seeded_bootstrap': 1.0}"
