update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
1,0.160948,0.283386,0.992188,0.047498,0.160675,-0.124130,2.905506,1,256,20,0.258995,1,0.160948,0.160948,1,0.086589,"{2: 4, 0: 243, 1: 3, 5: 4, 3: 1, 9: 1}","{'asset_gained': 34.375, 'asset_reward': 0.034374999999999996, 'production_start_reward': 0.015625, 'production_active_reward': 0.00462890625, 'production_cancel_penalty': 0.0019101562500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.16094791666666666, 'seeded_bootstrap': 1.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.1090813648293963, 'goal_building_progress': 0.5400262467191601, 'goal_unit_progress': 0.05380577427821522}"
2,0.117755,0.324540,0.992188,0.042845,0.083365,-0.108739,1.515111,1,256,11,0.206333,1,0.139351,0.160948,1,0.072266,"{0: 247, 2: 6, 1: 3}","{'asset_gained': 42.578125, 'asset_reward': 0.042578124999999994, 'production_start_reward': 0.013671875, 'production_active_reward': 0.0046875, 'production_cancel_penalty': 0.0019101562500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05918963254593177, 'goal_building_progress': 0.49196194225721784, 'goal_unit_progress': 0.023622047244094488, 'total': 0.11775455729166666, 'seeded_bootstrap': 1.0}"
3,0.099337,0.321302,0.992188,0.013026,0.077183,-0.294630,0.796627,4,256,10,0.835614,0,0.126013,0.160948,1,0.070530,"{0: 247, 2: 2, 1: 3, 5: 1, 3: 2, 10: 1}","{'asset_gained': 41.796875, 'asset_reward': 0.041796875, 'production_start_reward': 0.013671875, 'production_active_reward': 0.00490234375, 'production_cancel_penalty': 0.00153515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04082020997375329, 'goal_building_progress': 0.42913385826771655, 'goal_unit_progress': 0.028215223097112857, 'total': 0.09933723958333332, 'seeded_bootstrap': 1.0}"
4,0.112694,0.252868,0.996094,0.401657,0.587536,0.086778,1.452520,1,256,75,0.111292,1,0.122683,0.160948,1,0.172960,"{0: 189, 3: 3, 10: 1, 9: 1, 11: 8, 5: 52, 1: 1, 2: 1}","{'asset_gained': 30.6640625, 'asset_reward': 0.0306640625, 'production_start_reward': 0.029296875, 'production_active_reward': 0.005136718750000001, 'production_cancel_penalty': 0.00530078125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0531045751633987, 'goal_building_progress': 0.4715686274509804, 'goal_unit_progress': 0.05947712418300653, 'total': 0.11269401041666664, 'seeded_bootstrap': 1.0}"
5,0.087529,0.284060,0.992188,0.025688,0.138806,-0.296300,0.426985,4,256,19,0.161614,0,0.115653,0.160948,1,0.083333,"{0: 243, 3: 1, 9: 1, 5: 4, 1: 3, 2: 4}","{'asset_gained': 34.375, 'asset_reward': 0.034374999999999996, 'production_start_reward': 0.015625, 'production_active_reward': 0.004667968749999999, 'production_cancel_penalty': 0.0019140625000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.03504921259842521, 'goal_building_progress': 0.38031496062992126, 'goal_unit_progress': 0.020177165354330708, 'total': 0.08752929687500001, 'seeded_bootstrap': 1.0}"
6,0.099627,0.294033,0.992188,0.247397,0.425354,0.334951,0.731083,1,256,57,0.138979,1,0.112982,0.160948,1,0.142795,"{0: 208, 3: 3, 5: 33, 1: 3, 9: 1, 11: 7, 2: 1}","{'asset_gained': 39.84375, 'asset_reward': 0.03984375, 'production_start_reward': 0.029296875, 'production_active_reward': 0.0050195312500000006, 'production_cancel_penalty': 0.0049140625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.030620078740157486, 'goal_building_progress': 0.45029527559055116, 'goal_unit_progress': 0.013779527559055118, 'total': 0.099626953125, 'seeded_bootstrap': 1.0}"
7,0.110139,0.292597,0.996094,0.041989,0.133177,0.153490,1.280034,1,256,20,0.230721,1,0.112576,0.160948,1,0.077691,"{0: 241, 3: 3, 10: 3, 1: 2, 5: 1, 2: 1, 11: 5}","{'asset_gained': 38.28125, 'asset_reward': 0.03828125, 'production_start_reward': 0.025390625, 'production_active_reward': 0.006328124999999999, 'production_cancel_penalty': 0.00416796875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.044480392156862746, 'goal_building_progress': 0.4443137254901961, 'goal_unit_progress': 0.0004901960784313725, 'total': 0.11013867187500001, 'seeded_bootstrap': 1.0}"
8,0.090382,0.283311,0.992188,0.039861,0.079795,-0.464805,0.580903,1,256,12,0.232830,1,0.109801,0.160948,1,0.072917,"{5: 4, 0: 245, 11: 1, 1: 3, 2: 3}","{'asset_gained': 33.3984375, 'asset_reward': 0.033398437499999996, 'production_start_reward': 0.015485677083333333, 'production_active_reward': 0.00486328125, 'production_cancel_penalty': 0.0018906250000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.03882874015748032, 'goal_building_progress': 0.43769685039370076, 'goal_unit_progress': 0.003937007874015748, 'total': 0.09038216145833333, 'seeded_bootstrap': 1.0}"
9,0.152303,0.325307,0.992188,0.032328,0.116560,0.389364,2.019146,1,256,16,0.451077,1,0.114524,0.160948,1,0.078776,"{0: 245, 3: 2, 5: 2, 10: 1, 1: 4, 2: 2}","{'asset_gained': 44.140625, 'asset_reward': 0.044140625, 'production_start_reward': 0.017578125, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.00229296875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0888254593175853, 'goal_building_progress': 0.5176509186351707, 'goal_unit_progress': 0.055118110236220465, 'total': 0.15230338541666666, 'seeded_bootstrap': 1.0}"
10,0.125455,0.330684,0.992188,0.060286,0.129518,-0.196002,1.308583,1,256,22,0.243207,1,0.115617,0.160948,1,0.079210,"{0: 237, 2: 3, 9: 1, 11: 9, 5: 3, 1: 3}","{'asset_gained': 46.875, 'asset_reward': 0.046875, 'production_start_reward': 0.03117578125, 'production_active_reward': 0.0063281249999999995, 'production_cancel_penalty': 0.00487109375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04630905511811023, 'goal_building_progress': 0.45029527559055127, 'goal_unit_progress': 0.012795275590551181, 'total': 0.125455078125, 'seeded_bootstrap': 1.0}"
