update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
1,0.063160,0.450762,0.855469,1.179529,1.934145,0.213178,0.826178,1,256,255,0.044572,1,0.063160,0.063160,1,0.442925,"{0: 200, 2: 41, 3: 1, 1: 14}","{'asset_gained': 23.046875, 'asset_reward': 0.046093749999999996, 'resource_growth': 3.55859375, 'resource_reward': 0.00355859375, 'production_start_reward': 0.009765625, 'production_active_reward': 0.004101562499999999, 'production_cancel_penalty': 0.00153125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06316015624999999, 'seeded_bootstrap': 1.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5455882352941176, 'goal_unit_progress': 0.0, 'goal_phase2': 0.7411764705882353, 'goal_phase_bonus': 0.001176470588235294}"
2,0.099840,0.624533,0.960938,1.245224,1.864997,0.290718,1.836314,1,256,255,0.081847,1,0.081500,0.099840,2,0.442925,"{0: 190, 2: 54, 1: 12}","{'asset_gained': 40.234375, 'asset_reward': 0.08046875, 'resource_growth': 5.34765625, 'resource_reward': 0.00534765625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.00462890625, 'production_cancel_penalty': 0.00154296875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.6026143790849674, 'goal_unit_progress': 0.14640522875816997, 'goal_phase2': 0.9176470588235294, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.09983984375000002, 'seeded_bootstrap': 1.0}"
3,0.082082,0.552834,0.925781,1.243320,1.905061,0.275338,1.410356,1,256,255,0.061726,1,0.081694,0.099840,2,0.442925,"{0: 192, 2: 41, 1: 22, 3: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.0609375, 'resource_growth': 8.82421875, 'resource_reward': 0.00882421875, 'production_start_reward': 0.0078125, 'production_active_reward': 0.0044921875, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5640522875816992, 'goal_unit_progress': 0.24575163398692812, 'goal_phase2': 0.5333333333333333, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.08208203124999999, 'seeded_bootstrap': 1.0}"
4,0.080234,0.552779,0.902344,0.953990,1.980057,0.243142,1.347905,1,256,255,0.054249,1,0.081329,0.099840,2,0.442925,"{0: 196, 2: 44, 1: 16}","{'asset_gained': 30.46875, 'asset_reward': 0.0609375, 'resource_growth': 7.08984375, 'resource_reward': 0.007089843750000001, 'production_start_reward': 0.0078125, 'production_active_reward': 0.0043749999999999995, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.49754901960784315, 'goal_unit_progress': 0.0, 'goal_phase2': 0.5450980392156862, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.080234375, 'seeded_bootstrap': 1.0}"
5,0.082336,0.542831,0.968750,0.907558,1.963019,0.231097,1.324821,1,256,255,0.070775,1,0.081530,0.099840,2,0.442925,"{0: 199, 2: 36, 1: 21}","{'asset_gained': 30.46875, 'asset_reward': 0.0609375, 'resource_growth': 10.87109375, 'resource_reward': 0.010871093750000001, 'production_start_reward': 0.005859375, 'production_active_reward': 0.0046484375, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5732026143790849, 'goal_unit_progress': 0.0, 'goal_phase2': 0.9215686274509803, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.0823359375, 'seeded_bootstrap': 1.0}"
6,0.103781,0.623428,0.933594,0.960299,1.929867,0.267425,1.818245,1,256,255,0.116490,1,0.085239,0.103781,6,0.442925,"{0: 182, 2: 51, 1: 22, 3: 1}","{'asset_gained': 40.234375, 'asset_reward': 0.08046875, 'resource_growth': 10.59765625, 'resource_reward': 0.01059765625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.0044921875, 'production_cancel_penalty': 0.00154296875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.6619281045751633, 'goal_unit_progress': 0.396078431372549, 'goal_phase2': 0.8627450980392157, 'goal_phase_bonus': 0.0, 'total': 0.10378124999999999, 'seeded_bootstrap': 1.0}"
7,0.059633,0.448626,0.996094,0.829115,2.028029,0.219363,1.202220,1,256,256,0.047824,1,0.081581,0.103781,6,0.444444,"{0: 183, 2: 47, 1: 26}","{'asset_gained': 21.875, 'asset_reward': 0.04375, 'resource_growth': 3.609375, 'resource_reward': 0.003609375, 'production_start_reward': 0.0078125, 'production_active_reward': 0.0048242187499999995, 'production_cancel_penalty': 0.00153515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.62939453125, 'goal_unit_progress': 0.0, 'goal_phase2': 0.95703125, 'goal_phase_bonus': 0.001171875, 'total': 0.0596328125}"
8,0.088109,0.545991,0.941406,0.788566,1.916472,0.211557,1.415370,1,256,255,0.177223,1,0.082397,0.103781,6,0.442925,"{0: 169, 1: 35, 2: 52}","{'asset_gained': 32.8125, 'asset_reward': 0.06562499999999999, 'resource_growth': 8.97265625, 'resource_reward': 0.00897265625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.0044921875, 'production_cancel_penalty': 0.0019179687500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.6359477124183006, 'goal_unit_progress': 0.2509803921568627, 'goal_phase2': 0.9176470588235294, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.08810937499999999, 'seeded_bootstrap': 1.0}"
9,0.065383,0.461018,0.980469,0.630897,1.975664,0.181743,0.930355,1,256,255,0.030730,1,0.080507,0.103781,6,0.442925,"{0: 129, 2: 64, 1: 58, 3: 1, 7: 2, 8: 1, 6: 1}","{'asset_gained': 21.875, 'asset_reward': 0.04375, 'resource_growth': 7.07421875, 'resource_reward': 0.00707421875, 'production_start_reward': 0.009765625, 'production_active_reward': 0.004765625, 'production_cancel_penalty': 0.0011445312500000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.575, 'goal_unit_progress': 0.19803921568627447, 'goal_phase2': 0.5764705882352941, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.06538281249999998, 'seeded_bootstrap': 1.0}"
10,0.080449,0.552701,0.941406,1.081479,2.029053,0.433903,1.171554,1,256,255,0.034208,1,0.080501,0.103781,6,0.442925,"{0: 151, 2: 49, 1: 55, 5: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.0609375, 'resource_growth': 7.109375, 'resource_reward': 0.007109375, 'production_start_reward': 0.0078125, 'production_active_reward': 0.0045703125, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.546078431372549, 'goal_unit_progress': 0.11830065359477127, 'goal_phase2': 0.5607843137254902, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.08044921875, 'seeded_bootstrap': 1.0}"
11,0.070090,0.451360,0.980469,0.736277,1.990876,0.200357,0.918039,1,256,255,0.053293,1,0.079554,0.103781,6,0.442925,"{0: 170, 1: 56, 2: 30}","{'asset_gained': 24.21875, 'asset_reward': 0.048437499999999994, 'resource_growth': 7.15234375, 'resource_reward': 0.00715234375, 'production_start_reward': 0.01171875, 'production_active_reward': 0.0046875, 'production_cancel_penalty': 0.0019062500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.536470588235294, 'goal_unit_progress': 0.0, 'goal_phase2': 0.5490196078431373, 'goal_phase_bonus': 0.0, 'total': 0.07008984374999999, 'seeded_bootstrap': 1.0}"
